course_code,skill_name
CMPT 120,Python
CMPT 120,Data Structures
CMPT 120,Recursion
CMPT 225,Data Structures
CMPT 225,Algorithms
CMPT 225,Big-O Analysis
CMPT 225,C++
CMPT 276,Object-Oriented Design
CMPT 276,Git
CMPT 276,REST APIs
CMPT 354,SQL
CMPT 354,Databases
CMPT 373,Git
CMPT 373,Object-Oriented Design
CMPT 125,Data Structures
CMPT 125,Recursion
CMPT 125,Object-Oriented Design
CMPT 210,Probability & Statistics
CMPT 295,C
CMPT 295,Computer Systems
CMPT 201,C
CMPT 201,Linux
CMPT 201,Systems Programming
CMPT 105W,Technical Writing
CMPT 307,Algorithm Design
CMPT 307,Data Structures
CMPT 307,Algorithms
CMPT 371,Networking
CMPT 376W,Technical Writing
CMPT 376W,Object-Oriented Design
MACM 101,Algorithms
MACM 316,Numerical Analysis
MACM 316,Linear Algebra
MATH 151,Calculus
MATH 152,Calculus
MATH 232,Linear Algebra
BUS 232,Probability & Statistics
