code,title
CMPT 120,Introduction to Computing Science
CMPT 225,Data Structures and Algorithms
CMPT 276,Introduction to Software Engineering
CMPT 354,Database Systems I
CMPT 373,Software Development Methods
CMPT 125,Introduction to Computing Science and Programming II
CMPT 210,Probability and Computing
CMPT 295,Introduction to Computer Systems
CMPT 201,Systems Programming
CMPT 105W,Social Issues and Communication Strategies in Computing Science
CMPT 307,Data Structures and Algorithms
CMPT 371,Data Communications and Networking
CMPT 376W,Professional Responsibility and Technical Writing
CMPT 497,Dual Degree Program Capstone Project
MACM 101,Discrete Mathematics I
MACM 316,Numerical Analysis I
MATH 151,Calculus I
MATH 152,Calculus II
MATH 232,Applied Linear Algebra
BUS 232,Business Statistics
