role_title,source,external_id,company,title,url,track,industry,description,fetched_at
Backend Engineer Intern,seed,seed-backend-1,Seed data (hand-written),Backend Engineer Intern,,Backend,,Hand-written seed posting from the v0 dataset; skills were not extracted from a real listing.,2026-07-07T00:00:00.000Z
Full Stack Engineer Intern,seed,seed-fullstack-1,Seed data (hand-written),Full Stack Engineer Intern,,Full-stack,,Hand-written seed posting from the v0 dataset; skills were not extracted from a real listing.,2026-07-07T00:00:00.000Z
Backend Engineer Intern,adzuna,5882410964,Lyft,"Software Engineer Intern, Backend (Summer 2027)",https://www.adzuna.ca/details/5882410964?utm_medium=api&utm_source=7a1ab04d,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-22T16:37:53.064Z
Backend Engineer Intern,adzuna,5882405028,Lyft,"Software Engineer Intern, Backend (Summer 2027)",https://www.adzuna.ca/details/5882405028?utm_medium=api&utm_source=7a1ab04d,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-22T16:37:53.064Z
Backend Engineer Intern,adzuna,5847956389,Capital One,"Intern, Backend Software Engineer - Team Interstellar - Winter 2027",https://www.adzuna.ca/details/5847956389?utm_medium=api&utm_source=7a1ab04d,Backend,Fintech,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario, Intern, Backend Software Engineer - Team Interstellar - Winter 2027 MUST INCLUDE YOUR RESUME AND UNOFFICIAL TRANSCRIPT IN ONE PDF DOCUMENT IN THE ATTACHMENT SECTION UNDER RESUME/CV WHEN YOU CREATE YOUR PROFILE TO APPLY. About Capital One Canada For 30 years, we've been on a mission to change banking for good. We challenge the traditional bank stereotype, fostering a culture where innovation thrives and bold ideas are celebrated. You'll b…",2026-09-22T16:37:53.064Z
Backend Engineer Intern,adzuna,5885877209,Robinhood,"Software Developer Intern, Backend (Summer 2027)",https://www.adzuna.ca/details/5885877209?utm_medium=api&utm_source=7a1ab04d,Backend,Fintech,"Join us in building the future of finance. Our mission is to democratize finance for all. An estimated $124 trillion of assets will be inherited by younger generations in the next two decades. The largest transfer of wealth in human history. If you’re ready to be at the epicenter of this historic cultural and financial shift, keep reading. About the team  role We are building an elite team, applying frontier technologies to the world's biggest financial problems. We're looking for bold thinkers…",2026-09-24T04:50:46.746Z
Backend Engineer Intern,adzuna,5885861786,Robinhood,"Software Developer Intern/Co-op, Backend (Winter 2027)",https://www.adzuna.ca/details/5885861786?utm_medium=api&utm_source=7a1ab04d,Backend,Fintech,"Join us in building the future of finance. Our mission is to democratize finance for all. An estimated $124 trillion of assets will be inherited by younger generations in the next two decades. The largest transfer of wealth in human history. If you’re ready to be at the epicenter of this historic cultural and financial shift, keep reading. About the team  role We are building an elite team, applying frontier technologies to the world's biggest financial problems. We're looking for bold thinkers…",2026-09-24T04:50:46.746Z
Backend Engineer Intern,adzuna,5895705571,Astranis,Software Engineer Backend Intern (Summer 2027),https://www.adzuna.com/land/ad/5895705571?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=67924A4D679547E34C52C3192353AB37DD987C57,Backend,Aerospace/Defense,"Astranis builds advanced satellites for high orbits, expanding humanity’s reach into the solar system. Today, Astranis satellites provide dedicated, secure networks to highly-sophisticated customers across the globe— large enterprises, sovereign governments, and the US military. With five satellites on orbit and many more set to launch soon, the company is servicing a backlog of more than $1 billion of commercial contracts. Astranis is the preferred satellite communications partner for buyers w…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5857864373,Verkada,Backend Software Engineering Intern 2027,https://www.adzuna.com/details/5857864373?utm_medium=api&utm_source=7a1ab04d,Backend,General Technology,"Who We Are Verkada is transforming how organizations protect their people and places with an integrated, privacy-sensitive AI-powered platform that includes solutions for video security, access control, air quality sensors, alarms, intercoms, and visitor management. We’ve got serious momentum in the market: more than 30,000 customers (including 100 of the Fortune 500), a $5.8B valuation , more than $1 billion in annualized bookings, and backing from CapitalG, Sequoia Capital, General Catalyst, …",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5890390157,Feeding Children Everywhere,Spring 2027 Backend Software Engineering Intern,https://www.adzuna.com/details/5890390157?utm_medium=api&utm_source=7a1ab04d,Backend,General Technology,"Internship Description POSITION SUMMARY As a Backend Software Engineering Intern, you will work alongside the Server-Side Software Engineer, focusing on backend development tasks. You will assist with maintaining and building backend systems, managing databases, and integrating server-side technologies. This role is designed for an entry-level individual who is eager to gain practical experience in server-side development and enhance their technical skills in a real-world environment. RESPONSIB…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5886209754,WEX,DevOps & Backend Software Engineer Intern (Undergraduate),https://www.adzuna.com/details/5886209754?utm_medium=api&utm_source=7a1ab04d,DevOps/Infrastructure,Fintech,"WEX is a global commerce platform that has been simplifying the way businesses operate for over 40 years. Our purpose is simple: to reduce administrative burdens, streamline payments, and manage mobility. With a team of over 7,200 professionals across 16 countries. Our specialties are employee benefits, business payments, and fleet/mobility solutions . We support more than 20 million SaaS accounts, 8 million Health Savings Accounts, and 19 million vehicles worldwide. We're a growing company wit…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5882630281,Lyft,"Software Engineer Intern, Backend (Summer 2027 - SF)",https://www.adzuna.com/land/ad/5882630281?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=E603614F51C0C5B86F75309C7A5CEB7F9BB76470,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5895786638,Rippling,Software Engineer Intern - Backend Focused - Summer 2027,https://www.adzuna.com/land/ad/5895786638?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=EE6173AD0923FCF2E55A8AD67DE1BE6C77604F72,Backend,Enterprise Software,"About Rippling Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even t…",2026-09-24T04:50:51.043Z
Backend Engineer Intern,adzuna,5882629509,Lyft,"Software Engineer Intern, Backend (Summer 2027 - SF)",https://www.adzuna.com/land/ad/5882629509?se=iMQthNO38RG5E43lh87Ijw&utm_medium=api&utm_source=7a1ab04d&v=57EEE2033F08159B04FD5A5BBA3608E491C998E8,Backend,Automotive/Transportation,"At Lyft, our purpose is to serve and connect. We aim to achieve this by cultivating a work environment where all team members belong and have the opportunity to thrive. Interns work side-by-side with top engineers in the industry while having autonomy from the get-go. They contribute to user-facing products and are able to see their work go live quickly. Lyft fosters a collaborative environment in the office, so there's always a sharp mind eager to hear about your next idea. So what's yours? Re…",2026-09-24T04:50:51.043Z
