source,external_id,skill_name,level
seed,seed-backend-1,Python,required
seed,seed-backend-1,SQL,required
seed,seed-backend-1,Databases,required
seed,seed-backend-1,REST APIs,required
seed,seed-backend-1,Data Structures,required
seed,seed-backend-1,Algorithms,required
seed,seed-backend-1,Git,required
seed,seed-backend-1,Express,preferred
seed,seed-fullstack-1,JavaScript,required
seed,seed-fullstack-1,React,required
seed,seed-fullstack-1,Express,required
seed,seed-fullstack-1,SQL,required
seed,seed-fullstack-1,REST APIs,required
seed,seed-fullstack-1,Git,required
seed,seed-fullstack-1,Object-Oriented Design,preferred
adzuna,5847956389,Java,preferred
adzuna,5847956389,Python,preferred
adzuna,5847956389,SQL,preferred
adzuna,5847956389,REST APIs,preferred
adzuna,5847956389,Databases,preferred
adzuna,5847956389,Git,preferred
adzuna,5885877209,Python,required
adzuna,5885877209,Java,required
adzuna,5885877209,SQL,required
adzuna,5885877209,Data Structures,required
adzuna,5885877209,Algorithms,required
adzuna,5885877209,Object-Oriented Design,required
adzuna,5885877209,REST APIs,preferred
adzuna,5885877209,Git,preferred
adzuna,5885861786,Python,required
adzuna,5885861786,Java,required
adzuna,5885861786,SQL,required
adzuna,5885861786,Data Structures,required
adzuna,5885861786,Algorithms,required
adzuna,5885861786,Object-Oriented Design,required
adzuna,5885861786,Databases,required
adzuna,5885861786,REST APIs,preferred
adzuna,5885861786,Git,preferred
adzuna,5895705571,Python,required
adzuna,5895705571,C++,required
adzuna,5895705571,Linux,required
adzuna,5895705571,Git,required
adzuna,5895705571,Databases,preferred
adzuna,5895705571,Systems Programming,preferred
adzuna,5890390157,Backend Development,required
adzuna,5890390157,Databases,required
adzuna,5890390157,REST APIs,required
adzuna,5890390157,Python,preferred
adzuna,5890390157,Java,preferred
adzuna,5890390157,SQL,preferred
adzuna,5886209754,Python,required
adzuna,5886209754,Java,required
adzuna,5886209754,Linux,required
adzuna,5886209754,Git,required
adzuna,5886209754,Docker,preferred
adzuna,5886209754,Kubernetes,preferred
adzuna,5886209754,REST APIs,required
adzuna,5886209754,Databases,required
adzuna,5886209754,SQL,required
adzuna,5886209754,Backend Development,required
adzuna,5886209754,Systems Programming,preferred
adzuna,5886209754,Networking,preferred
adzuna,5882630281,Python,preferred
adzuna,5882630281,Java,preferred
adzuna,5882630281,Data Structures,required
adzuna,5882630281,Algorithms,required
adzuna,5882630281,Object-Oriented Design,required
adzuna,5882630281,Databases,preferred
adzuna,5882630281,REST APIs,preferred
adzuna,5882630281,Git,preferred
adzuna,5895786638,Python,required
adzuna,5895786638,Java,required
adzuna,5895786638,JavaScript,required
adzuna,5895786638,SQL,required
adzuna,5895786638,REST APIs,required
adzuna,5895786638,Databases,required
adzuna,5895786638,Data Structures,preferred
adzuna,5895786638,Algorithms,preferred
adzuna,5895786638,Backend Development,required
adzuna,5895786638,Git,required
adzuna,5882629509,Backend Development,required
adzuna,5882629509,Python,preferred
adzuna,5882629509,Java,preferred
adzuna,5882629509,C++,preferred
adzuna,5882629509,Databases,preferred
adzuna,5882629509,REST APIs,preferred
adzuna,5882629509,Networking,preferred
adzuna,5882629510,Python,required
adzuna,5882629510,Backend Development,required
adzuna,5882629510,Databases,required
adzuna,5882629510,REST APIs,required
adzuna,5882629510,Git,required
adzuna,5882629510,Data Structures,preferred
adzuna,5882629510,Algorithms,preferred
adzuna,5858104646,Python,required
adzuna,5858104646,Backend Development,required
adzuna,5885770509,C#,required
adzuna,5885770509,Cloud Security,required
adzuna,5885770509,Backend Development,required
adzuna,5882510758,Python,preferred
adzuna,5882510758,Java,preferred
adzuna,5882510758,C++,preferred
adzuna,5882510758,Data Structures,required
adzuna,5882510758,Algorithms,required
adzuna,5882510758,Backend Development,required
adzuna,5882510758,REST APIs,preferred
