role_title,industry,skill_name,weight
Backend Engineer Intern,Fintech,Python,1.0
Backend Engineer Intern,Fintech,SQL,1.0
Backend Engineer Intern,Fintech,Databases,1.0
Backend Engineer Intern,Fintech,REST APIs,1.0
Backend Engineer Intern,Fintech,Data Structures,1.0
Backend Engineer Intern,Fintech,Algorithms,0.8
Backend Engineer Intern,Fintech,Git,0.8
Backend Engineer Intern,Fintech,Express,0.6
Full Stack Engineer Intern,General Tech,JavaScript,1.0
Full Stack Engineer Intern,General Tech,React,1.0
Full Stack Engineer Intern,General Tech,Express,0.8
Full Stack Engineer Intern,General Tech,SQL,0.8
Full Stack Engineer Intern,General Tech,REST APIs,1.0
Full Stack Engineer Intern,General Tech,Git,0.8
Full Stack Engineer Intern,General Tech,Object-Oriented Design,0.6
