name,category
Python,language
Java,language
C++,language
JavaScript,language
SQL,language
Data Structures,concept
Algorithms,concept
Recursion,concept
Object-Oriented Design,concept
Big-O Analysis,concept
Databases,concept
REST APIs,concept
Git,tool
React,framework
Express,framework
C,language
Linux,tool
Probability & Statistics,concept
Computer Systems,concept
Systems Programming,concept
Networking,concept
Technical Writing,concept
Linear Algebra,concept
Calculus,concept
Numerical Analysis,concept
Algorithm Design,concept
